ds,y
2018-01-01,10.0
2018-01-02,6.5
2018-01-03,12.5
2018-01-04,10.0
2018-01-05,22.5
2018-01-06,16.0
2018-01-07,10.0
2018-01-08,12.5
2018-01-09,12.5
2018-01-10,15.5
2018-01-11,11.5
2018-01-12,19.5
2018-01-13,24.0
2018-01-14,10.5
2018-01-15,13.0
2018-01-16,4.5
2018-01-17,12.5
2018-01-18,15.5
2018-01-19,12.5
2018-01-20,15.5
2018-01-21,15.0
2018-01-22,5.0
2018-01-23,7.0
2018-01-24,7.0
2018-01-25,8.0
2018-01-26,20.5
2018-01-27,19.5
2018-01-28,12.0
2018-01-29,9.5
2018-01-30,5.5
2018-01-31,7.5
2018-02-01,7.5
2018-02-02,17.0
2018-02-03,17.5
2018-02-04,11.0
2018-02-05,8.0
2018-02-06,6.5
2018-02-07,16.0
2018-02-08,16.0
2018-02-09,18.5
2018-02-10,17.5
2018-02-11,13.5
2018-02-12,12.0
2018-02-13,11.5
2018-02-14,17.5
2018-02-15,20.0
2018-02-16,15.5
2018-02-17,20.0
2018-02-18,17.0
2018-02-19,13.0
2018-02-20,12.0
2018-02-21,10.0
2018-02-22,9.5
2018-02-23,22.5
2018-02-24,20.5
2018-02-25,15.5
2018-02-26,10.5
2018-02-27,12.5
2018-02-28,13.5
2018-03-01,10.0
2018-03-02,24.0
2018-03-03,12.0
2018-03-04,13.0
2018-03-05,6.0
2018-03-06,9.0
2018-03-07,11.5
2018-03-08,6.0
2018-03-09,19.5
2018-03-10,18.0
2018-03-11,4.5
2018-03-12,7.5
2018-03-13,9.5
2018-03-14,14.0
2018-03-15,12.0
2018-03-16,17.5
2018-03-17,17.0
2018-03-18,13.5
2018-03-19,6.0
2018-03-20,6.5
2018-03-21,13.5
2018-03-22,17.5
2018-03-23,20.0
2018-03-24,17.5
2018-03-25,7.0
2018-03-26,8.5
2018-03-27,8.0
2018-03-28,10.0
2018-03-29,24.0
2018-03-30,16.0
2018-03-31,20.0
2018-04-01,17.5
2018-04-02,4.0
2018-04-03,7.0
2018-04-04,8.0
2018-04-05,5.0
2018-04-06,11.0
2018-04-07,19.5
2018-04-08,8.0
2018-04-09,9.5
2018-04-10,11.0
2018-04-11,4.0
2018-04-12,8.0
2018-04-13,17.0
2018-04-14,15.0
2018-04-15,6.0
2018-04-16,7.5
2018-04-17,12.0
2018-04-18,7.5
2018-04-19,10.0
2018-04-20,14.0
2018-04-21,12.5
2018-04-22,7.0
2018-04-23,4.5
2018-04-24,9.0
2018-04-25,10.0
2018-04-26,8.0
2018-04-27,14.5
2018-04-28,16.5
2018-04-29,11.0
2018-04-30,14.5
2018-05-01,14.0
2018-05-02,3.5
2018-05-03,8.5
2018-05-04,19.0
2018-05-05,17.5
2018-05-06,11.0
2018-05-07,10.5
2018-05-08,3.0
2018-05-09,5.5
2018-05-10,13.5
2018-05-11,13.0
2018-05-12,17.5
2018-05-13,19.5
2018-05-14,7.5
2018-05-15,15.0
2018-05-16,9.5
2018-05-17,8.5
2018-05-18,14.5
2018-05-19,17.5
2018-05-20,19.5
2018-05-21,4.5
2018-05-22,6.5
2018-05-23,5.0
2018-05-24,7.0
2018-05-25,17.5
2018-05-26,15.5
2018-05-27,10.5
2018-05-28,11.5
2018-05-29,14.0
2018-05-30,7.0
2018-05-31,11.0
2018-06-01,17.5
2018-06-02,15.0
2018-06-03,7.5
2018-06-04,9.5
2018-06-05,4.0
2018-06-06,10.5
2018-06-07,8.5
2018-06-08,15.5
2018-06-09,15.5
2018-06-10,11.5
2018-06-11,4.0
2018-06-12,4.0
2018-06-13,7.5
2018-06-14,11.0
2018-06-15,19.0
2018-06-16,9.5
2018-06-17,18.0
2018-06-18,6.0
2018-06-19,4.5
2018-06-20,13.0
2018-06-21,10.0
2018-06-22,19.0
2018-06-23,18.5
2018-06-24,7.5
2018-06-25,6.5
2018-06-26,14.0
2018-06-27,6.5
2018-06-28,12.0
2018-06-29,15.0
2018-06-30,24.0
2018-07-01,13.5
2018-07-02,5.0
2018-07-03,11.0
2018-07-04,6.5
2018-07-05,7.5
2018-07-06,20.5
2018-07-07,10.5
2018-07-08,8.0
2018-07-09,6.5
2018-07-10,6.5
2018-07-11,4.0
2018-07-12,11.0
2018-07-13,12.0
2018-07-14,10.0
2018-07-15,9.5
2018-07-16,8.0
2018-07-17,9.0
2018-07-18,11.0
2018-07-19,4.0
2018-07-20,15.0
2018-07-21,16.5
2018-07-22,9.5
2018-07-23,3.5
2018-07-24,6.0
2018-07-25,10.5
2018-07-26,7.0
2018-07-27,21.0
2018-07-28,19.5
2018-07-29,14.0
2018-07-30,8.0
2018-07-31,7.5
2018-08-01,9.0
2018-08-02,8.5
2018-08-03,16.0
2018-08-04,20.5
2018-08-05,12.5
2018-08-06,5.5
2018-08-08,16.5
2018-08-09,11.5
2018-08-10,14.0
2018-08-11,8.5
2018-08-12,7.0
2018-08-13,6.0
2018-08-14,2.5
2018-08-15,7.5
2018-08-16,7.0
2018-08-17,13.5
2018-08-18,14.0
2018-08-19,5.5
2018-08-20,14.5
2018-08-21,11.0
2018-08-22,15.5
2018-08-23,5.0
2018-08-24,11.0
2018-08-25,4.5
2018-08-26,10.0
2018-08-27,4.5
2018-08-28,9.0
2018-08-29,7.0
2018-08-30,15.0
2018-08-31,9.0
2018-09-01,16.0
2018-09-02,4.0
2018-09-03,9.5
2018-09-04,8.0
2018-09-05,4.5
2018-09-06,10.5
2018-09-07,13.0
2018-09-08,21.5
2018-09-09,3.5
2018-09-10,5.0
2018-09-11,7.5
2018-09-12,12.5
2018-09-13,10.0
2018-09-14,13.0
2018-09-15,10.0
2018-09-16,7.0
2018-09-17,3.5
2018-09-18,7.0
2018-09-19,11.5
2018-09-20,13.5
2018-09-21,13.0
2018-09-22,23.5
2018-09-23,12.0
2018-09-24,2.0
2018-09-25,6.5
2018-09-26,3.5
2018-09-27,4.5
2018-09-28,16.5
2018-09-29,15.5
2018-09-30,11.0
2018-10-01,2.0
