ds,y
2018-11-22,3.5
2018-11-23,7.5
2018-11-24,6.5
2018-11-25,5.0
2018-11-26,1.5
2018-11-27,6.0
2018-11-28,2.5
2018-11-29,4.0
2018-11-30,4.5
2018-12-01,7.0
2018-12-02,10.5
2018-12-04,4.0
2018-12-05,2.0
2018-12-06,5.5
2018-12-08,7.0
2018-12-09,7.5
2018-12-11,1.0
2018-12-12,3.5
2018-12-13,2.5
2018-12-14,5.0
2018-12-15,6.0
2018-12-16,8.0
2018-12-17,2.0
2018-12-18,3.0
2018-12-20,2.5
2018-12-21,7.5
2018-12-23,8.0
2018-12-24,8.0
2018-12-25,10.5
2018-12-26,1.5
2018-12-27,2.5
2018-12-28,3.5
2018-12-29,10.0
2018-12-30,11.0
2018-12-31,8.0
2019-01-01,11.5
2019-01-02,3.0
2019-01-03,3.0
2019-01-04,4.5
2019-01-05,10.0
2019-01-07,6.0
2019-01-11,5.0
2019-01-12,9.5
2019-01-13,9.5
2019-01-15,4.0
2019-01-17,5.0
2019-01-18,3.5
2019-01-19,4.5
2019-01-20,6.0
2019-01-21,3.5
2019-01-22,2.5
2019-01-23,4.0
2019-01-24,2.5
2019-01-25,10.0
2019-01-26,13.5
2019-01-27,4.5
2019-01-28,4.5
2019-01-29,2.5
2019-01-30,6.0
2019-01-31,5.5
2019-02-01,6.0
2019-02-03,9.5
2019-02-04,7.0
2019-02-05,12.0
2019-02-06,11.0
2019-02-07,5.0
2019-02-08,8.5
2019-02-09,8.0
2019-02-10,5.0
2019-02-12,0.5
2019-02-14,6.0
2019-02-15,4.0
2019-02-16,3.0
2019-02-17,8.0
2019-02-19,2.0
2019-02-20,1.0
2019-02-21,2.0
2019-02-22,3.5
2019-02-23,6.5
2019-02-24,9.0
2019-02-26,3.0
2019-02-27,1.0
2019-02-28,3.0
2019-03-01,6.5
2019-03-02,7.0
2019-03-03,7.0
2019-03-04,2.5
2019-03-05,0.5
2019-03-06,2.0
2019-03-07,0.5
2019-03-08,4.5
2019-03-09,6.0
2019-03-10,9.0
2019-03-11,2.0
2019-03-12,2.5
2019-03-13,4.0
2019-03-15,8.0
2019-03-16,9.5
2019-03-17,3.5
2019-03-19,1.0
2019-03-20,2.5
2019-03-21,5.5
2019-03-22,6.0
2019-03-23,9.5
2019-03-24,4.5
2019-03-26,3.5
2019-03-27,2.5
2019-03-28,1.0
2019-03-29,6.5
2019-03-30,9.0
2019-03-31,9.0
2019-04-01,1.0
2019-04-03,2.0
2019-04-04,4.0
2019-04-05,6.5
2019-04-06,8.0
2019-04-07,9.0
2019-04-08,1.0
2019-04-10,1.5
2019-04-11,4.0
2019-04-12,3.5
2019-04-13,6.5
2019-04-14,5.5
2019-04-15,1.5
2019-04-18,6.5
2019-04-19,8.0
2019-04-20,8.0
2019-04-21,11.0
2019-04-22,1.0
2019-04-23,3.5
2019-04-24,3.0
2019-04-25,2.5
2019-04-26,4.5
2019-04-27,8.0
2019-04-28,7.5
2019-04-29,1.5
2019-04-30,2.0
2019-05-01,12.0
2019-05-02,1.0
2019-05-03,5.0
2019-05-04,7.5
2019-05-05,6.5
2019-05-06,3.0
2019-05-07,1.5
2019-05-08,2.5
2019-05-09,2.5
2019-05-10,9.5
2019-05-11,12.5
2019-05-12,11.5
2019-05-13,2.5
2019-05-14,2.5
2019-05-16,3.0
2019-05-17,5.0
2019-05-18,6.5
2019-05-19,10.5
2019-05-20,9.0
2019-05-21,2.5
2019-05-23,4.0
2019-05-24,7.0
2019-05-25,5.0
2019-05-26,2.5
2019-05-27,1.5
2019-05-28,2.0
2019-05-29,3.5
2019-05-30,7.0
2019-05-31,4.5
2019-06-01,10.0
2019-06-02,8.0
2019-06-04,3.5
2019-06-05,8.0
2019-06-06,5.5
2019-06-07,5.0
2019-06-08,9.5
2019-06-09,8.5
2019-06-11,3.0
2019-06-13,1.0
2019-06-14,3.5
2019-06-15,3.5
2019-06-16,9.5
2019-06-17,4.0
2019-06-18,3.5
2019-06-20,3.5
2019-06-21,4.0
2019-06-22,8.0
2019-06-23,7.0
2019-06-25,3.0
2019-06-26,2.5
2019-06-27,2.5
2019-06-28,8.0
2019-06-29,10.0
2019-06-30,8.5
2019-07-01,2.0
2019-07-02,2.5
2019-07-03,2.5
2019-07-05,4.5
2019-07-06,6.5
2019-07-07,8.0
2019-07-10,1.5
2019-07-11,2.5
2019-07-12,5.5
2019-07-13,8.0
2019-07-14,7.0
2019-07-15,4.0
2019-07-17,2.0
2019-07-19,7.5
2019-07-20,7.0
2019-07-21,8.0
2019-07-22,3.0
2019-07-23,2.0
2019-07-24,2.0
2019-07-25,2.5
2019-07-26,7.0
2019-07-27,10.0
2019-07-28,12.5
2019-07-29,4.5
2019-07-30,1.0
2019-07-31,2.5
2019-08-01,2.5
2019-08-03,8.5
2019-08-04,8.5
2019-08-06,2.5
2019-08-08,5.5
2019-08-09,12.5
2019-08-10,4.0
2019-08-11,12.5
2019-08-12,5.5
2019-08-13,3.5
2019-08-14,2.5
2019-08-15,2.0
2019-08-16,5.5
2019-08-17,7.0
2019-08-18,8.0
2019-08-19,4.0
2019-08-20,1.5
2019-08-22,4.0
2019-08-23,5.0
2019-08-24,7.0
2019-08-25,5.5
2019-08-27,3.0
2019-08-28,5.0
2019-08-29,4.0
2019-08-30,5.0
2019-08-31,6.5
2019-09-01,6.5
2019-09-02,5.5
2019-09-03,2.5
2019-09-05,4.0
2019-09-06,4.5
2019-09-07,5.0
2019-09-08,8.0
2019-09-09,2.5
2019-09-10,3.0
2019-09-11,4.5
2019-09-13,9.5
2019-09-14,6.5
2019-09-15,8.0
2019-09-18,5.0
2019-09-19,4.0
2019-09-20,3.5
2019-09-21,9.5
2019-09-22,7.0
2019-09-23,2.5
2019-09-25,4.5
2019-09-26,4.0
2019-09-27,5.0
2019-09-28,7.5
2019-09-29,10.0
2019-09-30,4.0
2019-10-01,2.0
2019-10-02,3.0
2019-10-03,2.5
2019-10-04,5.0
2019-10-05,14.0
2019-10-06,9.5
2019-10-08,2.5
2019-10-09,3.0
2019-10-10,2.5
2019-10-11,6.5
2019-10-12,10.5
2019-10-13,3.5
2019-10-14,2.5
2019-10-15,1.5
