ds,y
2018-01-01,2.465
2018-01-02,1.07
2018-01-03,0.635
2018-01-04,1.01
2018-01-05,1.77
2018-01-06,2.395
2018-01-07,1.1400000000000001
2018-01-08,1.0150000000000001
2018-01-09,1.3900000000000001
2018-01-10,2.39
2018-01-11,2.19
2018-01-12,2.515
2018-01-13,2.9
2018-01-14,2.71
2018-01-15,1.335
2018-01-16,0.6950000000000001
2018-01-17,1.205
2018-01-18,1.655
2018-01-19,2.5300000000000002
2018-01-20,2.275
2018-01-21,1.595
2018-01-22,1.0150000000000001
2018-01-23,1.26
2018-01-24,1.145
2018-01-25,1.525
2018-01-26,2.525
2018-01-27,2.725
2018-01-28,2.265
2018-01-29,0.95
2018-01-30,1.255
2018-01-31,2.09
2018-02-01,1.26
2018-02-02,2.02
2018-02-03,3.6
2018-02-04,1.33
2018-02-05,1.715
2018-02-06,1.575
2018-02-07,1.6400000000000001
2018-02-08,2.215
2018-02-09,2.665
2018-02-10,2.795
2018-02-11,1.715
2018-02-12,1.52
2018-02-13,1.695
2018-02-14,1.585
2018-02-15,2.4050000000000002
2018-02-16,2.3600000000000003
2018-02-17,2.9050000000000002
2018-02-18,1.835
2018-02-19,1.2650000000000001
2018-02-20,1.5150000000000001
2018-02-21,2.27
2018-02-22,2.085
2018-02-23,1.9100000000000001
2018-02-24,3.2199999999999998
2018-02-25,1.775
2018-02-26,1.895
2018-02-27,0.76
2018-02-28,1.075
2018-03-01,2.09
2018-03-02,2.7800000000000002
2018-03-03,3.0949999999999998
2018-03-04,1.7
2018-03-05,0.515
2018-03-06,0.88
2018-03-07,1.76
2018-03-08,1.57
2018-03-09,1.635
2018-03-10,2.89
2018-03-11,0.9450000000000001
2018-03-12,1.005
2018-03-13,1.455
2018-03-14,2.085
2018-03-15,1.1400000000000001
2018-03-16,1.385
2018-03-17,2.7199999999999998
2018-03-18,1.27
2018-03-19,0.94
2018-03-20,0.875
2018-03-21,1.705
2018-03-22,1.76
2018-03-23,2.835
2018-03-24,2.145
2018-03-25,1.9
2018-03-26,1.45
2018-03-27,1.38
2018-03-28,1.885
2018-03-29,2.27
2018-03-30,2.2800000000000002
2018-03-31,1.71
2018-04-01,1.395
2018-04-02,0.885
2018-04-03,1.635
2018-04-04,1.075
2018-04-05,1.135
2018-04-06,2.2800000000000002
2018-04-07,2.52
2018-04-08,1.075
2018-04-09,0.9550000000000001
2018-04-10,1.32
2018-04-11,0.825
2018-04-12,0.885
