ds,y
2018-01-01,1.2650000000000001
2018-01-02,0.19
2018-01-04,0.565
2018-01-05,1.195
2018-01-06,1.3900000000000001
2018-01-07,1.65
2018-01-08,0.755
2018-01-09,0.755
2018-01-10,2.08
2018-01-11,1.635
2018-01-12,2.02
2018-01-13,1.52
2018-01-14,1.78
2018-01-16,0.51
2018-01-17,0.885
2018-01-18,0.76
2018-01-19,1.655
2018-01-20,2.2199999999999998
2018-01-21,2.275
2018-01-24,1.135
2018-01-25,0.38
2018-01-26,1.8900000000000001
2018-01-27,1.395
2018-01-28,1.885
2018-01-30,0.195
2018-01-31,0.065
2018-02-01,0.13
2018-02-02,0.585
2018-02-03,1.3900000000000001
2018-02-04,1.45
2018-02-05,0.88
2018-02-06,0.38
2018-02-08,0.565
2018-02-09,0.815
2018-02-10,2.91
2018-02-11,1.8900000000000001
2018-02-12,0.44
2018-02-13,0.9450000000000001
2018-02-14,1.315
2018-02-15,1.58
2018-02-16,1.465
2018-02-17,1.525
2018-02-18,1.6400000000000001
2018-02-19,0.755
2018-02-20,0.255
2018-02-21,0.44
2018-02-22,0.815
2018-02-23,0.825
2018-02-24,1.51
2018-02-25,1.195
2018-02-26,0.19
2018-02-27,0.315
2018-02-28,0.9450000000000001
2018-03-02,1.96
2018-03-03,1.2650000000000001
2018-03-04,2.265
2018-03-05,0.755
2018-03-06,0.565
2018-03-08,0.505
2018-03-09,1.07
2018-03-10,1.955
2018-03-11,1.76
2018-03-13,0.6950000000000001
2018-03-14,0.755
2018-03-15,0.38
2018-03-16,1.0150000000000001
2018-03-17,1.21
2018-03-18,0.6950000000000001
2018-03-19,0.26
2018-03-20,0.195
2018-03-21,0.13
2018-03-22,0.13
2018-03-23,0.26
2018-03-24,0.39
2018-03-25,0.65
2018-03-26,0.195
2018-03-27,0.195
2018-03-28,0.13
2018-03-29,1.005
2018-03-30,2.89
2018-03-31,2.32
2018-04-01,2.265
2018-04-02,0.19
2018-04-03,0.445
2018-04-06,0.5700000000000001
2018-04-07,2.52
2018-04-08,2.02
2018-04-09,0.065
2018-04-18,0.315
2018-04-19,0.38
2018-04-20,1.07
2018-04-21,1.32
2018-04-22,1.19
2018-04-23,0.315
2018-04-24,0.63
2018-04-26,0.9450000000000001
2018-04-27,2.32
2018-04-28,0.69
2018-04-29,0.63
2018-04-30,1.255
2018-05-01,1.6400000000000001
2018-05-02,0.315
2018-05-04,1.57
2018-05-05,0.815
2018-05-06,0.76
2018-05-08,0.065
2018-05-10,1.635
