ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-01-01,5.548966695510627,4.002359554737918,7.609667271986917,5.548966695510627,5.548966695510627,0.04224297345893542,0.04224297345893542,0.04224297345893542,0.04224297345893542,0.04224297345893542,0.04224297345893542,0.0,0.0,0.0,5.783371548353599
2018-01-02,5.548258001785103,3.2152116972664744,6.81197325250441,5.548258001785103,5.548258001785103,-0.1045174423345849,-0.1045174423345849,-0.1045174423345849,-0.1045174423345849,-0.1045174423345849,-0.1045174423345849,0.0,0.0,0.0,4.968368266026129
2018-01-03,5.5475493080595815,3.797182673115427,7.438201540572117,5.5475493080595815,5.5475493080595815,-0.004183907274026795,-0.004183907274026795,-0.004183907274026795,-0.004183907274026795,-0.004183907274026795,-0.004183907274026795,0.0,0.0,0.0,5.524338876156569
2018-01-05,5.546131920608536,4.202564072865244,7.927148677840315,5.546131920608536,5.546131920608536,0.07983793177809989,0.07983793177809989,0.07983793177809989,0.07983793177809989,0.07983793177809989,0.07983793177809989,0.0,0.0,0.0,5.988923622518422
2018-01-06,5.545423226883013,3.8834833605630354,7.456911637078891,5.545423226883013,5.545423226883013,0.042340512775017075,0.042340512775017075,0.042340512775017075,0.042340512775017075,0.042340512775017075,0.042340512775017075,0.0,0.0,0.0,5.78021928986373
2018-01-07,5.5447145331574905,3.544839877104975,7.089080933311879,5.5447145331574905,5.5447145331574905,-0.03991283020220241,-0.03991283020220241,-0.03991283020220241,-0.03991283020220241,-0.03991283020220241,-0.03991283020220241,0.0,0.0,0.0,5.3234092834758915
2018-01-08,5.544005839431968,3.8410433411133487,7.583145655104033,5.544005839431968,5.544005839431968,0.042242973459176394,0.042242973459176394,0.042242973459176394,0.042242973459176394,0.042242973459176394,0.042242973459176394,0.0,0.0,0.0,5.778201130964612
2018-01-09,5.543297145706445,3.0263580404824895,6.73362017872691,5.543297145706445,5.543297145706445,-0.10451744233462026,-0.10451744233462026,-0.10451744233462026,-0.10451744233462026,-0.10451744233462026,-0.10451744233462026,0.0,0.0,0.0,4.9639259059364065
2018-01-10,5.542588451980923,3.8054617284338024,7.411169405776906,5.542588451980923,5.542588451980923,-0.00418390727404009,-0.00418390727404009,-0.00418390727404009,-0.00418390727404009,-0.00418390727404009,-0.00418390727404009,0.0,0.0,0.0,5.51939877583967
2018-01-11,5.5418797582554005,3.7456894312731537,7.310015776447682,5.5418797582554005,5.5418797582554005,-0.015807238200820632,-0.015807238200820632,-0.015807238200820632,-0.015807238200820632,-0.015807238200820632,-0.015807238200820632,0.0,0.0,0.0,5.454277944836351
