ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-01-01,1.1731888087682627,0.6647197265363964,1.7264932153379424,1.1731888087682627,1.1731888087682627,0.029385147613889766,0.029385147613889766,0.029385147613889766,0.029385147613889766,0.029385147613889766,0.029385147613889766,0.0,0.0,0.0,1.2076631350928817
2018-01-02,1.1723825297359287,0.5839388928226712,1.5816281514650248,1.1723825297359287,1.1723825297359287,-0.08440055418551687,-0.08440055418551687,-0.08440055418551687,-0.08440055418551687,-0.08440055418551687,-0.08440055418551687,0.0,0.0,0.0,1.0734327945087982
2018-01-04,1.170769971671261,0.4637482586545291,1.4652609781094952,1.170769971671261,1.170769971671261,-0.1902977469858282,-0.1902977469858282,-0.1902977469858282,-0.1902977469858282,-0.1902977469858282,-0.1902977469858282,0.0,0.0,0.0,0.947975083823558
2018-01-05,1.169963692638927,0.7642038132981268,1.8216971423833517,1.169963692638927,1.169963692638927,0.08665585751950053,0.08665585751950053,0.08665585751950053,0.08665585751950053,0.08665585751950053,0.08665585751950053,0.0,0.0,0.0,1.2713478996912344
2018-01-06,1.1691574136065932,0.765480229937559,1.8034446759107643,1.1691574136065932,1.1691574136065932,0.10663769816992053,0.10663769816992053,0.10663769816992053,0.10663769816992053,0.10663769816992053,0.10663769816992053,0.0,0.0,0.0,1.2938336689918981
2018-01-07,1.1683511345742592,0.7858408714309334,1.7864992990719275,1.1683511345742592,1.1683511345742592,0.08747726083523627,0.08747726083523627,0.08747726083523627,0.08747726083523627,0.08747726083523627,0.08747726083523627,0.0,0.0,0.0,1.270555291520556
2018-01-09,1.1667385765095912,0.5733904988168561,1.5997210754923292,1.1667385765095912,1.1667385765095912,-0.08440055418527942,-0.08440055418527942,-0.08440055418527942,-0.08440055418527942,-0.08440055418527942,-0.08440055418527942,0.0,0.0,0.0,1.0682651940628376
2018-01-10,1.1659322974772572,0.6152353655183737,1.642695895341247,1.1659322974772572,1.1659322974772572,-0.035457662966738704,-0.035457662966738704,-0.035457662966738704,-0.035457662966738704,-0.035457662966738704,-0.035457662966738704,0.0,0.0,0.0,1.1245910630312734
2018-01-11,1.1651260184449233,0.4312193510777549,1.4605950238939567,1.1651260184449233,1.1651260184449233,-0.19029774698575497,-0.19029774698575497,-0.19029774698575497,-0.19029774698575497,-0.19029774698575497,-0.19029774698575497,0.0,0.0,0.0,0.9434051621803712
2018-01-13,1.1635134603802555,0.815694108472192,1.7819089210732588,1.1635134603802555,1.1635134603802555,0.1066376981695419,0.1066376981695419,0.1066376981695419,0.1066376981695419,0.1066376981695419,0.1066376981695419,0.0,0.0,0.0,1.2875878575844844
2018-01-14,1.1627071813479215,0.7373048233704823,1.7416112908322847,1.1627071813479215,1.1627071813479215,0.0874772608350411,0.0874772608350411,0.0874772608350411,0.0874772608350411,0.0874772608350411,0.0874772608350411,0.0,0.0,0.0,1.2644176207254691
2018-01-15,1.1619009023155877,0.6637220499869155,1.7234393456401578,1.1619009023155877,1.1619009023155877,0.029385147614135194,0.029385147614135194,0.029385147614135194,0.029385147614135194,0.029385147614135194,0.029385147614135194,0.0,0.0,0.0,1.1960435318431282
