ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-04-15,7.223660280592884,2.2892278430449227,8.575720664870719,7.223660280592884,7.223660280592884,-0.27175205170063954,-0.27175205170063954,-0.27175205170063954,-0.053943982225841916,-0.053943982225841916,-0.053943982225841916,-0.21780806947479764,-0.21780806947479764,-0.21780806947479764,0.0,0.0,0.0,5.26061577855335
2018-04-17,7.218456804331838,2.1980190635561567,8.50055401126459,7.218456804331838,7.218456804331838,-0.25691017323997783,-0.25691017323997783,-0.25691017323997783,-0.06565103875968926,-0.06565103875968926,-0.06565103875968926,-0.19125913448028858,-0.19125913448028858,-0.19125913448028858,0.0,0.0,0.0,5.363961816205649
2018-04-18,7.215855066201315,2.002887596570297,8.222899543242395,7.215855066201315,7.215855066201315,-0.2916344779959214,-0.2916344779959214,-0.2916344779959214,-0.11482389120103094,-0.11482389120103094,-0.11482389120103094,-0.17681058679489045,-0.17681058679489045,-0.17681058679489045,0.0,0.0,0.0,5.1114629406754695
2018-04-20,7.2106515899402694,4.65579991349858,10.868149582492046,7.2106515899402694,7.2106515899402694,0.08895243292791798,0.08895243292791798,0.08895243292791798,0.23578218823870034,0.23578218823870034,0.23578218823870034,-0.14682975531078238,-0.14682975531078238,-0.14682975531078238,0.0,0.0,0.0,7.8520565918610155
2018-04-21,7.208049851809747,5.352077538056821,11.467540055446246,7.208049851809747,7.208049851809747,0.15107636586497702,0.15107636586497702,0.15107636586497702,0.2828879018063744,0.2828879018063744,0.2828879018063744,-0.13181153594139738,-0.13181153594139738,-0.13181153594139738,0.0,0.0,0.0,8.29701582839475
2018-04-22,7.205448113679224,2.642551346510477,9.184771176909885,7.205448113679224,7.205448113679224,-0.17105024061646573,-0.17105024061646573,-0.17105024061646573,-0.05394398222609652,-0.05394398222609652,-0.05394398222609652,-0.11710625839036923,-0.11710625839036923,-0.11710625839036923,0.0,0.0,0.0,5.972954480084933
2018-04-23,7.202846375548701,1.8372633142546488,8.269869713527957,7.202846375548701,7.202846375548701,-0.2815055330723321,-0.2815055330723321,-0.2815055330723321,-0.1785609422732826,-0.1785609422732826,-0.1785609422732826,-0.10294459079904952,-0.10294459079904952,-0.10294459079904952,0.0,0.0,0.0,5.175205266961748
2018-04-27,7.1924394230266095,5.391584489548559,11.60341743282209,7.1924394230266095,7.1924394230266095,0.1802727798864224,0.1802727798864224,0.1802727798864224,0.23578218823894354,0.23578218823894354,0.23578218823894354,-0.05550940835252113,-0.05550940835252113,-0.05550940835252113,0.0,0.0,0.0,8.489040471980312
2018-04-28,7.189837684896086,5.851723130902102,12.023841739897705,7.189837684896086,7.189837684896086,0.23625577168816153,0.23625577168816153,0.23625577168816153,0.2828879018062229,0.2828879018062229,0.2828879018062229,-0.04663213011806141,-0.04663213011806141,-0.04663213011806141,0.0,0.0,0.0,8.888478335453836
2018-05-01,7.182032470504518,3.4946634428841152,9.6913749097341,7.182032470504518,7.182032470504518,-0.09372769131029188,-0.09372769131029188,-0.09372769131029188,-0.06565103875985709,-0.06565103875985709,-0.06565103875985709,-0.028076652550434775,-0.028076652550434775,-0.028076652550434775,0.0,0.0,0.0,6.508877148128578
2018-05-03,7.176828994243473,3.2824987961434626,9.415162979213578,7.176828994243473,7.176828994243473,-0.12782250733340197,-0.12782250733340197,-0.12782250733340197,-0.10569023558445607,-0.10569023558445607,-0.10569023558445607,-0.0221322717489459,-0.0221322717489459,-0.0221322717489459,0.0,0.0,0.0,6.2594687174962145
2018-05-04,7.17422725611295,5.649933534658149,11.832820437674432,7.17422725611295,7.17422725611295,0.2149504466007755,0.2149504466007755,0.2149504466007755,0.23578218823916403,0.23578218823916403,0.23578218823916403,-0.020831741638388537,-0.020831741638388537,-0.020831741638388537,0.0,0.0,0.0,8.716330608829884
2018-05-07,7.166422041721381,2.523271870721393,8.733231252822977,7.166422041721381,7.166422041721381,-0.2004997631927346,-0.2004997631927346,-0.2004997631927346,-0.1785609422733013,-0.1785609422733013,-0.1785609422733013,-0.021938820919433295,-0.021938820919433295,-0.021938820919433295,0.0,0.0,0.0,5.729556119417051
2018-05-10,7.158616827379497,3.1683600798734375,9.40555922983813,7.158616827379497,7.158616827379497,-0.1327009524524642,-0.1327009524524642,-0.1327009524524642,-0.10569023558429537,-0.10569023558429537,-0.10569023558429537,-0.02701071686816883,-0.02701071686816883,-0.02701071686816883,0.0,0.0,0.0,6.208661556144
2018-05-11,7.156015089265536,5.330808965696542,11.774549704709347,7.156015089265536,7.156015089265536,0.20701305497764133,0.20701305497764133,0.20701305497764133,0.2357821882381418,0.2357821882381418,0.2357821882381418,-0.02876913326050046,-0.02876913326050046,-0.02876913326050046,0.0,0.0,0.0,8.637403634360494
2018-05-12,7.153413351151575,5.810133385659363,11.777903240937516,7.153413351151575,7.153413351151575,0.2525959457825791,0.2525959457825791,0.2525959457825791,0.28288790180632095,0.28288790180632095,0.28288790180632095,-0.030291956023741833,-0.030291956023741833,-0.030291956023741833,0.0,0.0,0.0,8.960336562159435
2018-05-14,7.148209874923652,2.5875360119595223,8.539497112112075,7.148209874923652,7.148209874923652,-0.21064955757542417,-0.21064955757542417,-0.21064955757542417,-0.178560942273286,-0.178560942273286,-0.178560942273286,-0.03208861530213817,-0.03208861530213817,-0.03208861530213817,0.0,0.0,0.0,5.642442627314707
